"Ranking","Artist_Name","Spotify_Artist_ID","Spotify_Popularity","Genre","Billboard_Popularity","track_id","track_name","track_release","decade","Danceability","Energy","Valence","Endurance_Index"
100,"Talking Heads","2x9SpqnPi8rlE9pjHBwmSC",67,"rock",0,"1i6N76fftMZhijOzFQ5ZtL","Psycho Killer - 2005 Remaster","1977-09-16",1970,0.721,0.521,0.942,33.5
99,"Carl Perkins","5hIClg6noTaCzMu2s5wp4f",44,"rock",0,"5d6ZRqgbz26Sg4bk1oifQw","Blue Suede Shoes","1957-01-01",1950,0.548,0.673,0.965,22
98,"Curtis Mayfield","2AV6XDIs32ofIJhkkDevjm",57,"soul",0,"2qrOktpT4UcQKldz0QRCmD","Move On Up","2020-10-30",2020,0.538,0.969,0.928,28.5
97,"R.E.M.","4KWTAlx2RvbpseOGMEmROg",72,"rock",0,"31AOj9sFz2gM0O3hMARRBx","Losing My Religion","1991-03-12",1990,0.666,0.855,0.803,36
96,"Diana Ross and the Supremes","0rXI0q8Cahq6numvPlloaq",45,"soul",0,"6kAS4yj3wHJXcLp93vr5aG","You Can't Hurry Love","2017-11-17",2010,0.459,0.767,0.618,22.5
95,"Lynyrd Skynyrd","4MVyzYMgTwdP7Z49wAZHx0",70,"rock",29,"7e89621JPkKaeDSTQ3avtg","Sweet Home Alabama","1974-04-15",1970,0.596,0.605,0.886,49.5
94,"Nine Inch Nails","0X380XXQSNBYuleKzav5UO",64,"rock",1,"2oDqmfa2g8W893LlwJG1qu","Closer","1994-03-08",1990,0.547,0.714,0.541,32.5
93,"Booker T. and the MGs","2vDV0T8sxx2ENnKXds75e5",55,"soul",0,"4fQMGlCawbTkH9yPPZ49kP","Green Onions","1962",1960,0.816,0.514,0.912,27.5
92,"Guns n’ Roses","3qm84nBOXUEQ2vnTfUTTFC",78,"rock",18,"7snQQk1zcKl8gZ92AnueZW","Sweet Child O' Mine","1987-07-21",1980,0.446,0.952,0.624,48
91,"Tom Petty","2UZMlIwnkgAEDBsw1Rejkn",70,"rock",0,"5tVA6TkbaAH9QMITTQRrNv","Free Fallin'","1989-01-01",1980,0.623,0.449,0.572,35
90,"Carlos Santana","6GI52t8N5F02MxU0g5U69P",69,"blues",2,"567UAkWoLBqZ709s3Qcbze","Maria Maria (feat. The Product G&B)","1999",1990,0.777,0.601,0.68,35.5
89,"The Yardbirds","2lxX1ivRYp26soIavdG9bX",46,"blues",0,"3HlbrnCBdrJ1NObHLMXSZh","Heart Full of Soul - 2015 Remaster","1965",1960,0.492,0.666,0.699,23
88,"Jay-Z","3nFkdlSjzX9mRTtwJOzDYB",82,"hip hop",2,"1auxYwYrFRqZP7t3s7w4um","Ni**as In Paris","2011-08-08",2010,0.789,0.858,0.775,42
